플랫폼,브랜드,품목,제목,가격,이미지URL,매물URL
중고나라,구찌,가방,(거의새것) 구찌 오피디아 포쉐뜨 크로스백 네이비,1090000,https://img2.joongna.com/media/original/2026/07/29/1785288023839m68_2cXl0.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231074771
중고나라,구찌,가방,구찌마틀라세,1590000,https://img2.joongna.com/media/original/2026/02/13/17709581948358pp_jbKRR.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/225230300
중고나라,구찌,가방,(정품) 구찌 인터로킹 GG 수프림 클러치 & 메신저백 726833,950000,https://img2.joongna.com/media/original/2026/08/06/17859895854915m8_wMfno.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231304571
중고나라,구찌,가방,구찌 디오니소스 레더 WOC 체인백 미니백,547500,https://img2.joongna.com/cafe-article-data/live/2025/04/15/1102413605/1744696508537_000_QW2kz_main.JPG?impolicy=thumb&size=150,https://web.joongna.com/product/207126375
중고나라,구찌,가방,구찌가방,200000,https://img2.joongna.com/media/original/2026/08/10/1786322947197T80_6qXtc.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231410324
중고나라,구찌,가방,구찌 GG 오피디아 탑핸들 토트 숄더백 스몰 아이보리,780000,https://img2.joongna.com/cafe-article-data/live/2025/07/31/1113224575/1753941013888_000_B2585_main.JPG?impolicy=thumb&size=150,https://web.joongna.com/product/216633624
중고나라,구찌,가방,구찌 크리스탈 GG 캔버스 토트백 골드,223500,https://img2.joongna.com/media/original/2026/04/20/1776661670954T7R_mafbd.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/227719632
중고나라,구찌,가방,구찌 GG 수프림 메신저 크로스백 네이비,375500,https://img2.joongna.com/media/original/2026/07/12/1783792143977EZu_i9Xag.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230537121
중고나라,구찌,가방,(정품) 구찌 가죽 체인 스트랩 블랙,200000,https://img2.joongna.com/media/original/2026/08/08/1786150040110Wxe_dP9JQ.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231356413
중고나라,구찌,가방,(정품) 새상품 구찌 재키백 1961 스몰 토트백 727810,2900000,https://img2.joongna.com/media/original/2026/08/05/1785881971829VMA_OiLvJ.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231266946
중고나라,구찌,가방,구찌 GG패턴 보스턴백 브라운,250000,https://img2.joongna.com/media/original/2026/07/02/1782962618025Gu8_nCTmG.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230225460
중고나라,구찌,가방,구찌 GG 마몽 마틀라세 숄더백 화이트,700000,https://img2.joongna.com/media/original/2026/07/06/1783311440639f7f_hYyuO.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230353222
중고나라,구찌,가방,구찌디오니소스미니백,680000,https://img2.joongna.com/media/original/2026/07/26/1785040553963m6l_96UgM.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230987579
중고나라,구찌,가방,구찌 소호 태슬 디스코 크로스백 785206 구매 후 미사용 / 보관만 한 새상품 / 구성품 전체 보유,1200000,https://img2.joongna.com/media/original/2026/08/06/1785993821762rrp_JAgwW.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231306508
중고나라,구찌,가방,정품 구찌 마이크로시마 보스턴백,350000,https://img2.joongna.com/media/original/2026/08/13/1786613361921qel_UW1Ly.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231515731
중고나라,구찌,가방,정품 구찌 시마 애비 D링 골드 토트/숄더백,350000,https://img2.joongna.com/media/original/2026/08/14/1786676560533XE5_jNR8n.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231532562
중고나라,구찌,가방,정품 구찌 애비 크리스탈 D링 숄더/크로스백,360000,https://img2.joongna.com/media/original/2026/08/11/1786443256991EFw_ut4U8.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231457342
중고나라,구찌,가방,(정품)구찌 캔버스 타이거 프린트 클러치 판매합니다,270000,https://img2.joongna.com/media/original/2026/08/17/1786895654493SeL_Ds1go.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231603493
중고나라,구찌,가방,구찌 숄더백,300000,https://img2.joongna.com/media/original/2026/08/19/1787109298429HLB_WnY3S.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231669054
중고나라,구찌,가방,정품 구찌 GG 수프림 클러치백,450000,https://img2.joongna.com/media/original/2026/08/19/1787109234468rRW_lxbcJ.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231669021
중고나라,구찌,가방,구찌 재키 1961 스몰 화이트,1690000,https://img2.joongna.com/media/original/2026/04/19/17765973598211Qt_KacPj.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/227695648
중고나라,구찌,가방,정품 구찌 수프림 GG 로고 숄더백,280000,https://img2.joongna.com/media/original/2026/08/10/1786355324422RUW_gwVt8.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231426334
중고나라,구찌,가방,구찌 오피디아 미니 백팩,1400000,https://img2.joongna.com/media/original/2026/08/07/1786091796916bNG_CXwuh.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231341555
중고나라,구찌,가방,G구찌 캔버스 숄더백,290000,https://img2.joongna.com/media/original/2026/06/17/1781667718389ZiB_oxU6i.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/229728075
중고나라,구찌,가방,구찌 메신저백,200000,https://img2.joongna.com/media/original/2026/07/25/1784955844774CBp_SMWj2.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230959019
중고나라,구찌,가방,구찌 인터로킹 GG 슈프림 메신저백 판매합니다.,1150000,https://img2.joongna.com/media/original/2026/08/16/1786852007445Lnj_iAQ0k.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231585089
중고나라,구찌,가방,구찌 인터로킹 토트백 미듐,1400000,https://img2.joongna.com/media/original/2026/08/17/1786940130778mYH_g8mu8.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231612304
중고나라,구찌,가방,구찌 GG 마몽 마몬트 마틀라쎄 미니백 파우치 625691,269000,https://img2.joongna.com/media/original/2026/07/28/1785241864132FNs_gjRp3.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231064373
중고나라,구찌,가방,구찌 홀스빗 1955 미니 탑 핸들백,1300000,https://img2.joongna.com/media/original/2026/08/13/1786595339600zCC_gOFf1.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231506616
