플랫폼,브랜드,품목,제목,가격,이미지URL,매물URL
중고나라,디올,가방,디올 레이디백 미니,400000,https://img2.joongna.com/media/original/2025/11/24/1763971849958H4h_YXhr5.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/222211997
중고나라,디올,가방,디올 여행용 파우치 (빅 파우치) (새제품),59000,https://img2.joongna.com/media/original/2026/08/01/1785589547429Eln_80rqr.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231178643
중고나라,디올,가방,디올 나노 디올 코브라 백팩 나일론,430000,https://img2.joongna.com/media/original/2026/07/19/17844528424137k8_xxnG0.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230774389
중고나라,디올,가방,디올 새들백,3000000,https://img2.joongna.com/media/original/2026/06/17/1781672198043xyp_6cjrS.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/229731072
중고나라,디올,가방,디올 졸리 블랙 새상품,170000,https://img2.joongna.com/media/original/2026/08/12/17864735413207UW_tXl1V.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231467253
중고나라,디올,가방,"[24년6월,크림]디올 오블리크 자카드 링고 토일레트리 돕키트 파우치 백 2ADCA474YKY-H27E",1150000,https://img2.joongna.com/media/original/2026/08/19/17871179816654mh_h6GRl.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231673162
중고나라,디올,가방,(정품)디올 몽테인30 체인백 팔아요,2500000,https://img2.joongna.com/media/original/2026/08/11/1786420998205cfm_2YJXZ.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231445757
중고나라,디올,가방,새상품급) 디올 크로스백 메신저백,1300000,https://img2.joongna.com/media/original/2026/08/19/1787117604250i3f_YfQuB.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231672969
중고나라,디올,가방,디올 오블리크 토일레트리 돕키트 클러치백,1200000,https://img2.joongna.com/media/original/2026/08/18/1787061100171nT2_1hWQu.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231658293
중고나라,디올,가방,디올 오블리크 랩탑 노트북 케이스 파우치 클러치,551500,https://img2.joongna.com/media/original/2026/06/20/1781953793882Czh_aDqGQ.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/229841163
중고나라,디올,가방,디올 오블리크 체인백,690000,https://img2.joongna.com/media/original/2025/10/29/1761719072057BkJ_Oa30v.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/221245563
중고나라,디올,가방,디올 30 몽테인 카프스킨 숄더백 스몰 블랙,2189500,https://img2.joongna.com/media/original/2026/04/30/1777560494551QFT_PZHyP.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228113971
중고나라,디올,가방,디올 갤럽 미니 메신저 백 판매합니다.,2000000,https://img2.joongna.com/media/original/2026/01/13/1768310870842sI0_2vUFd.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/224079998
중고나라,디올,가방,디올레이디백 스몰,3400000,https://img2.joongna.com/media/original/2026/08/19/1787112387344nvK_SRTUX.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231670490
중고나라,디올,가방,디올 디조이 스몰 페이던트 샌드핑크,3000000,https://img2.joongna.com/media/original/2026/04/10/1775788646445nki_yOoVP.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/227337128
중고나라,디올,가방,디올 오블리크 새들백 네이비,180000,https://img2.joongna.com/media/original/2026/07/28/1785222341028Dfw_lkDAO.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231054717
중고나라,디올,가방,디올 마이크로 베니티백,1200000,https://img2.joongna.com/media/original/2026/08/19/1787111885163rve_JfLmh.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231670241
