플랫폼,브랜드,품목,제목,가격,이미지URL,매물URL
중고나라,보테가베네타,가방,보테가베네타 나파 인트레치오 아르코 토트백,180000,https://img2.joongna.com/media/original/2026/08/19/1787111045946jXw_npMHc.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231669827
중고나라,보테가베네타,가방,보테가베네타 아르코 슬라우치 아이보리,1190000,https://img2.joongna.com/media/original/2026/08/14/17866861094898Wk_KopJM.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231537058
중고나라,보테가베네타,가방,보테가베네타 만두백 카멜,1100000,https://img2.joongna.com/media/original/2026/06/24/17822947232862KC_I8oCD.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/229972386
중고나라,보테가베네타,가방,보테가베네타 멀티 카세트백,200000,https://img2.joongna.com/media/original/2026/08/13/1786589466118Fp1_1m4Ke.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231503818
중고나라,보테가베네타,가방,보테가베네타 안디아모 미디엄 폰단트,4600000,https://img2.joongna.com/media/original/2026/05/22/1779434330115wF3_02R9G.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228869382
중고나라,보테가베네타,가방,보테가베네타 카세트백,1100000,https://img2.joongna.com/media/original/2026/08/13/1786585026375vde_DOKNQ.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231501910
중고나라,보테가베네타,가방,보테가베네타 조디백 미니,380000,https://img2.joongna.com/media/original/2026/08/12/17864966865206ss_H6Rz7.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231470916
중고나라,보테가베네타,가방,보테가베네타 인트레치아토 카프스킨 로마백 스몰 (새상품),1100000,https://img2.joongna.com/media/original/2026/05/12/1778596732690w3m_423Aa.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228535530
중고나라,보테가베네타,가방,보테가베네타 미니루프 (아몬드컬러),1500000,https://img2.joongna.com/media/original/2026/07/28/1785192549863tQP_R61u2.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231041351
중고나라,보테가베네타,가방,(235에서가격내림)보테가베네타 카세트백 페이던트 블랙(새상품컨디션),1930000,https://img2.joongna.com/media/original/2026/08/08/1786147811502q71_n9TxQ.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231355654
중고나라,보테가베네타,가방,(정품)보테가베네타 인트레치아토 숄더백 크로스백 블랙,450000,https://img2.joongna.com/media/original/2026/08/12/1786496231379ivH_8ox9g.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231470681
중고나라,보테가베네타,가방,보테가베네타 올림피아 체인 크로스백,820000,https://img2.joongna.com/media/original/2026/07/16/1784129763270wzr_BtxNX.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230663270
중고나라,보테가베네타,가방,정품 보테가베네타 패디트 테크 카세트백,1200000,https://img2.joongna.com/media/original/2026/06/11/1781186045380H3a_T9u05.jpeg?impolicy=thumb&size=150,https://web.joongna.com/product/229551597
중고나라,보테가베네타,가방,(정품)보테가베네타 인트레치아토 woc 체인 숄더백 크로스백,450000,https://img2.joongna.com/media/original/2026/08/09/1786247800689MKT_8D2B6.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231387430
중고나라,보테가베네타,가방,보테가베네타 만두백,1000000,https://img2.joongna.com/media/original/2026/06/27/1782536417892JdN_svDg0.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230061299
중고나라,보테가베네타,가방,보테가베네타 블랙 카프스킨 빈티지레더 캔디 카세트백,500000,https://img2.joongna.com/media/original/2026/07/27/1785150873442joe_8rQ5D.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231031223
중고나라,보테가베네타,가방,보테가베네타 카세트 클러치,190000,https://img2.joongna.com/media/original/2026/08/18/1787051214426mNJ_qGLh8.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231653591
중고나라,보테가베네타,가방,[신형/풀구성] MINI / 보테가베네타 레더 카세트백,513000,https://img2.joongna.com/media/original/2026/08/16/1786875811348RxO_WjMjD.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231595592
