플랫폼,브랜드,품목,제목,가격,이미지URL,매물URL
중고나라,프라다,가방,PRADA 프라다 가방 더플백,430000,https://img2.joongna.com/media/original/2026/06/29/1782703201629wKk_osN9H.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230122464
중고나라,프라다,가방,프라다 호보백 1NE204 블랙 토트백 숄더백,930000,https://img2.joongna.com/media/original/2026/08/17/17869127909645nJ_gZciw.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231604987
중고나라,프라다,가방,프라다 백팩,505000,https://img2.joongna.com/media/original/2025/12/01/1764565243859XL6_s5HhY.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/222464199
중고나라,프라다,가방,프라다 테수토 나일론 쇼퍼 숄더백 블랙,308500,https://img2.joongna.com/media/original/2026/06/14/1781413610983fPH_S5sKt.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/229631048
중고나라,프라다,가방,프라다 테수토 나일론 메신저 크로스백 블랙,853500,https://img2.joongna.com/media/original/2026/07/25/1784964833074SBB_EsOAz.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230862949
중고나라,프라다,가방,프라다 은장 지퍼장식 페이던트 숄더백,259000,https://img2.joongna.com/media/original/2026/07/27/1785136409367YFG_HrPAc.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231023492
중고나라,프라다,가방,프라다 클러치백 TORO(2VF018) 판매합니다.,600000,https://img2.joongna.com/media/original/2026/05/10/1778390709523vt2_nb3oK.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/228444462
중고나라,프라다,가방,프라다 리나일론 삼각로고 숄더백 2VD062,2100000,https://img2.joongna.com/media/original/2026/08/19/1787113776208hu6_b55rp.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231671181
중고나라,프라다,가방,[빈티지 명품/ 정품] 프라다 도트백,400000,https://img2.joongna.com/media/original/2026/08/10/1786373745594sFq_eYTkI.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231434948
중고나라,프라다,가방,프라다 리나일론백 백팩 스몰,2100000,https://img2.joongna.com/media/original/2026/08/19/1787113675376Lb3_MrOTa.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231671129
중고나라,프라다,가방,프라다 듀엣 버킷백 가죽 화이트,80000,https://img2.joongna.com/media/original/2026/07/24/178485610870767N_oprUl.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230922252
중고나라,프라다,가방,프라다 테수토 나일론 숄더,450000,https://img2.joongna.com/media/original/2026/08/19/1787108659646tnt_fgEIb.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231668768
중고나라,프라다,가방,정품 프라다 디어스킨(사슴가죽) 블랙 숄더백,317000,https://img2.joongna.com/media/original/2026/07/21/17846013437521xR_8S5lb.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230824810
중고나라,프라다,가방,프라다 리나일론 백팩,220000,https://img2.joongna.com/media/original/2026/08/13/1786607325643tk9_NnGAy.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231512807
중고나라,프라다,가방,프라다 다이아그램 체인 크로스백 여성 가방 블랙 1BP013,750000,https://img2.joongna.com/media/original/2026/08/11/1786443012943APb_g9TDA.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231457203
중고나라,프라다,가방,프라다 사피아노 레더 삼각로고 럭스 빅 토트백 블랙 B1786T,800000,https://img2.joongna.com/media/original/2026/08/11/17864432504392lF_I7aOO.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231457340
중고나라,프라다,가방,프라다 플랩 클레오 브러쉬드 레더 숄더백 가방 블랙 1BD311,1450000,https://img2.joongna.com/media/original/2026/08/18/1787052408327WOZ_fgKvx.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231654223
중고나라,프라다,가방,프라다 사피아노 레더 비블리오텍 투웨이 토트백 숄더백 가방 블랙 1BA071,690000,https://img2.joongna.com/media/original/2026/07/28/1785241962724rOp_gZ2Ab.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231064424
중고나라,프라다,가방,프라다 리나일론 백팩 미디엄,3100000,https://img2.joongna.com/media/original/2026/08/08/17861950628920Z5_NgkMa.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231375924
중고나라,프라다,가방,정품 프라다 럭셔리 엠보시드 가죽 호보백,243000,https://img2.joongna.com/media/original/2026/07/21/1784629704889aEv_YtUqr.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230841027
중고나라,프라다,가방,프라다 리나일론 슬링백,1120000,https://img2.joongna.com/media/original/2026/08/16/1786860842713P47_3jWpa.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231588895
중고나라,프라다,가방,프라다 갤러리아 사피아노 1BA906 미니 토트 숄더백,1600000,https://img2.joongna.com/media/original/2026/07/27/1785116413480gl2_9c4Bn.JPG?impolicy=thumb&size=150,https://web.joongna.com/product/231012670
중고나라,프라다,가방,프라다 비텔로 메탈로고 다이노 카프스킨 토트백 모터백 BL0805,500000,https://img2.joongna.com/media/original/2026/08/18/1787052115450hBa_YyBsh.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231654073
중고나라,프라다,가방,프라다 다이아그램 메탈로고 미니 은장 체인 크로스백 1DH044,750000,https://img2.joongna.com/media/original/2026/08/11/1786442456414XcS_sTKzs.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231456922
중고나라,프라다,가방,프라다 메탈로고 사피아노 토트백 크로스백 블랙 1BA163,660000,https://img2.joongna.com/media/original/2026/08/18/1787052476900DMB_fdUi9.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231654254
중고나라,프라다,가방,프라다 클레오 브러시드 삼각로고 호보백 숄더백 가방 1BC499,1780000,https://img2.joongna.com/media/original/2026/08/18/17870405386237tC_QNhVe.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231648097
중고나라,프라다,가방,프라다 메탈로고 사피아노 토트백 크로스백 블랙 1BA163,720000,https://img2.joongna.com/media/original/2026/08/18/17870386907819I3_EJGsv.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231647178
중고나라,프라다,가방,프라다 벨라 백팩 스몰,440000,https://img2.joongna.com/media/original/2026/07/30/1785393489590Oxw_i6JVQ.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231112603
중고나라,프라다,가방,프라다 사피아노 클러치백,400000,https://img2.joongna.com/media/original/2026/07/21/1784621157229w49_1AmXt.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230836257
중고나라,프라다,가방,프라다 사피아노 미니백,1000000,https://img2.joongna.com/media/original/2023/05/15/1684141669029eLD_obtUI.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/111697179
중고나라,프라다,가방,프라다 갤러리백,2500000,https://img2.joongna.com/media/original/2025/10/18/17607592072743W0_FXpR8.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/220835892
중고나라,프라다,가방,(새상품) 프라다 삼각로고 리나일론 숄더백 2VD066,165000,https://img2.joongna.com/media/original/2026/08/18/1787052365559j7x_DLDRY.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231654202
중고나라,프라다,가방,프라다가방,850000,https://img2.joongna.com/media/original/2026/06/12/17812687071418i5_oMitC.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/229582675
중고나라,프라다,가방,(미사용품)프라다 보석 크로스백,1250000,https://img2.joongna.com/media/original/2026/06/17/1781650344422EJx_yn0gh.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/229720657
중고나라,프라다,가방,프라다 버킷백,1400000,https://img2.joongna.com/media/original/2026/08/05/1785886573114aeK_qIe0t.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231267891
중고나라,프라다,가방,프라다 비텔로 토트백 ㅡ정품,760000,https://img2.joongna.com/media/original/2026/08/08/1786143294390pd7_zK5js.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231354788
중고나라,프라다,가방,프라다 버킷백 ㅡ정품,1400000,https://img2.joongna.com/media/original/2026/08/08/17861434054078EV_6m87R.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231354810
중고나라,프라다,가방,[마지막 가격내림] 프라다 블랙 포코노 원포켓 백팩 스몰,360000,https://img2.joongna.com/media/original/2026/08/19/1787097610013dMr_vGemc.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231664128
중고나라,프라다,가방,프라다크로스백,190000,https://img2.joongna.com/media/original/2026/07/23/1784763106422FZE_4Bk8w.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230887334
중고나라,프라다,가방,프라다 리에디션 1978 라지 리나일론 토트백,400000,https://img2.joongna.com/media/original/2026/05/27/1779846310625YWf_DqslK.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/229021902
중고나라,프라다,가방,(마지막가격내림)프라다 빈티지 토트백(정품보증서O),405000,https://img2.joongna.com/media/original/2026/08/18/1787004390233Byy_pE6hp.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231633424
중고나라,프라다,가방,프라다 리에디션 2005 사피아노 호보백(풀구성 상태최상급) 256만,2560000,https://img2.joongna.com/media/original/2026/08/18/178700421717348e_i4lYJ.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231633398
중고나라,프라다,가방,프라다 미니백,90000,https://img2.joongna.com/media/original/2026/08/09/1786201857829sSb_ls5Y3.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231378668
중고나라,프라다,가방,프라다 여성용 가죽 가방,230000,https://img2.joongna.com/media/original/2026/08/12/1786543750594D1t_inLp9.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231494202
중고나라,프라다,가방,투미 TUMI 백팩 가방 정품 한정판 비지니스백 만다리나 리모와 리모아 샘소 쌤소 준지 발렌 프라다 리미티드라 비쌌,270000,https://img2.joongna.com/media/original/2026/08/05/178590208572372K_Qvivv.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231274298
중고나라,프라다,가방,1NH545 프라다 클러치백,310000,https://img2.joongna.com/media/original/2026/07/29/1785321494444iG1_ZWNdA.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231090674
중고나라,프라다,가방,프라다 가방,400000,https://img2.joongna.com/media/original/2025/02/20/17400138261466Wj_Njpt5.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/201115009
중고나라,프라다,가방,프라다 가방,1000000,https://img2.joongna.com/media/original/2026/08/18/1787056114848FXp_cMzSG.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231656030
중고나라,프라다,가방,프라다 버킷백,720000,https://img2.joongna.com/media/original/2026/07/22/17846983435203QS_WeIKy.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230864549
중고나라,프라다,가방,프라다 블랙 포코노 나일론 버킷 파우치백 + 스트랩,450000,https://img2.joongna.com/media/original/2026/07/25/17849683828531vM_SzOs8.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230965614
중고나라,프라다,가방,프라다 리나일론 백팩 스몰 리에디션 1978 레드 금장 가방,1790000,https://img2.joongna.com/media/original/2026/07/05/17832333403490ke_krPWv.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230326492
중고나라,프라다,가방,프라다 리나일론 미니파우치 넥스트랩 밴딩파우치 블랙,600000,https://img2.joongna.com/media/original/2026/07/05/1783233639420CcV_yG9PH.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230326640
중고나라,프라다,가방,프라다 블랙 가죽 숄더백. 정품,699000,https://img2.joongna.com/media/original/2026/08/02/1785670601890zHG_g7QiV.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231202646
중고나라,프라다,가방,[정품] 프라다 비텔로 다이노 크로스백,450000,https://img2.joongna.com/media/original/2026/08/18/1787051143025XxY_TUWnI.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231653545
중고나라,프라다,가방,프라다 리나일론 파우치백 미니파우치 가방 (스트랩증정),450000,https://img2.joongna.com/media/original/2026/07/05/1783234296496fHD_8iM8P.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230327083
중고나라,프라다,가방,프라다 리나일론 원형 미니 파우치,350000,https://img2.joongna.com/media/original/2026/07/05/17832340199905Ft_ukXGG.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230326916
중고나라,프라다,가방,프라다 나일론 스마트폰케이스 폰홀더백 미니백 크로스백,990000,https://img2.joongna.com/media/original/2026/07/05/1783233805416Q7N_WtPoD.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230326730
중고나라,프라다,가방,프라다 크로스백,300000,https://img2.joongna.com/media/original/2026/08/04/178584639147769e_xwZsn.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231260156
중고나라,프라다,가방,새제품) 프라다 비블리오 사피아노 토트백,990000,https://img2.joongna.com/media/original/2026/08/12/1786533562955OjQ_4X6v0.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231489536
중고나라,프라다,가방,프라다 리나일론 바이커백 라지 팝니다,1700000,https://img2.joongna.com/media/original/2026/08/17/1786958514601z3i_Dq9xA.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231621752
중고나라,프라다,가방,프라다 큐피트 트릭 아크릴 로봇 체인 박스 트렁크 크로스 숄더백 레드,1100000,https://img2.joongna.com/media/original/2026/06/05/1780617716864cWw_qMZA5.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/229321961
중고나라,프라다,가방,25fw 프라다 사피아노 리나일론 크로스백,1400000,https://img2.joongna.com/media/original/2026/07/09/1783582957340ftP_l5Ria.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230460999
중고나라,프라다,가방,프라다 포코노 빈티지 숄더백 서류가방형,169000,https://img2.joongna.com/media/original/2026/08/16/1786865139595N7h_I5yKZ.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231590780
중고나라,프라다,가방,프라다 카나파 큐빅장식 캔버스백 사용감있음,199000,https://img2.joongna.com/media/original/2026/07/26/1785077867985hzh_FSim2.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231005622
중고나라,프라다,가방,프라다 여성 더블지퍼 크로스백,399000,https://img2.joongna.com/media/original/2026/06/26/1782464939211LCw_5njGU.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230037640
중고나라,프라다,가방,프라다 백팩 판매,800000,https://img2.joongna.com/media/original/2026/03/14/1773493973175aOk_nzE45.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/226306925
중고나라,프라다,가방,프라다 사피아노 슬링백 백팩 블랙,1700000,https://img2.joongna.com/media/original/2026/07/10/1783620388286DR7_EaAO4.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230476453
중고나라,프라다,가방,프라다 핑크 리나일론 크로스백,259000,https://img2.joongna.com/media/original/2026/08/09/1786237089872z4q_TDDcz.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231383199
중고나라,프라다,가방,프라다 백팩 블랙 2vz062,1300000,https://img2.joongna.com/media/original/2026/07/26/1785002445868IdO_5jQ00.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230978103
중고나라,프라다,가방,프라다 사피아노 스트랩 가죽카드 미니크로스백,700000,https://img2.joongna.com/media/original/2026/08/17/1786935752390NCL_4OXyU.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231610389
중고나라,프라다,가방,프라다 그레이스 에티켓 블랙 플랩백,800000,https://img2.joongna.com/media/original/2026/07/28/17852297100837Qy_Hh1EA.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231058495
중고나라,프라다,가방,프라다 핑크 나일론 테수토 크로스백 가방 숄더백,260000,https://img2.joongna.com/media/original/2026/08/18/1787043618754jI6_h6B0s.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231649800
중고나라,프라다,가방,(새상품) 프라다 남성 백팩 팝니다.,2900000,https://img2.joongna.com/media/original/2026/07/09/1783570100690Sly_MYCgJ.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230453662
중고나라,프라다,가방,프라다 1BA058 토드백 판매합니다,580000,https://img2.joongna.com/media/original/2026/06/15/1781483411892f3c_v8HeR.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/229654848
중고나라,프라다,가방,[정품] 프라다 테수토 나일론 가죽 믹스 버킷백 (BN1057),390000,https://img2.joongna.com/media/original/2026/08/18/1787041523405NtZ_MhARo.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231648591
중고나라,프라다,가방,프라다 사피아노 클러치백 상태a급,400000,https://img2.joongna.com/media/original/2026/08/09/17862608664386SE_npSdM.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/231393663
중고나라,프라다,가방,프라다 사피아노 레더 스트랩 클러치,750000,https://img2.joongna.com/media/original/2026/07/25/1784978823331yQN_1asFP.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/229531317
중고나라,프라다,가방,프라다 리나일론 메신저백 블랙,1100000,https://img2.joongna.com/media/original/2026/07/26/178501992962916a_lOhR2.jpg?impolicy=thumb&size=150,https://web.joongna.com/product/230979417
