플랫폼,브랜드,품목,제목,가격,이미지URL,매물URL
번개장터,구찌,가방,구찌 GG 마몽 탑핸들 미니 구찌 여성 가방 정품,1250000,https://media.bunjang.co.kr/product/330634850_1_1786931825_w{res}.jpg,https://m.bunjang.co.kr/products/330634850
번개장터,구찌,가방,구찌 마몬트 마틀라쎄  숄더백 스몰 여성 구찌 가방 정품,1250000,https://media.bunjang.co.kr/product/416479879_1_1787114410_w{res}.jpg,https://m.bunjang.co.kr/products/416479879
번개장터,구찌,가방,구찌 가방 클러치백 바이컬러 GG,700000,https://media.bunjang.co.kr/product/390486827_1_1771597240_w{res}.jpg,https://m.bunjang.co.kr/products/390486827
번개장터,구찌,가방,구찌 가방 클러치백 바이컬러 GG,700000,https://media.bunjang.co.kr/product/390081002_1_1771428918_w{res}.jpg,https://m.bunjang.co.kr/products/390081002
번개장터,구찌,가방,구찌 GG 마몬트 가방 M사이즈 그레이,950000,https://media.bunjang.co.kr/product/392463463_1_1772348808_w{res}.jpg,https://m.bunjang.co.kr/products/392463463
번개장터,구찌,가방,구찌가방,1350000,https://media.bunjang.co.kr/product/284980794_1_1736147432_w{res}.jpg,https://m.bunjang.co.kr/products/284980794
번개장터,구찌,가방,구찌가방,200000,https://media.bunjang.co.kr/product/307677025_1_1734926033_w{res}.jpg,https://m.bunjang.co.kr/products/307677025
번개장터,구찌,가방,정품 구찌 뱀부 데일리백 토트백 가방 가로40 크로스끈분실,465000,https://media.bunjang.co.kr/product/392016400_1_1772181165_w{res}.jpg,https://m.bunjang.co.kr/products/392016400
번개장터,구찌,가방,구찌 마몽 숄더백 미디움 정품 구찌 여성 가방,1390000,https://media.bunjang.co.kr/product/392171694_1_1778240984_w{res}.jpg,https://m.bunjang.co.kr/products/392171694
번개장터,구찌,가방,"정품 구찌 가방 그레이 토트백,숄더백",430000,https://media.bunjang.co.kr/product/398762917_1_1786151016_w{res}.jpg,https://m.bunjang.co.kr/products/398762917
